id;employee;customer;start_date;end_date;break_total_minutes
1;forecast Avon teal;Chief;2023-03-21T06:04:53;2023-03-20T23:27:35;3909
2;action-items;unleash;2023-03-21T13:41:32;2023-03-21T15:47:33;77561
3;EXE;reboot seamless Senior;2023-03-21T02:24:55;2023-03-21T12:48:10;57145
4;niches;driver methodical withdrawal;2023-03-21T03:15:31;2023-03-21T19:09:57;73406
5;Inlet Fresh;Pike Computer IB;2023-03-21T07:07:41;2023-03-21T16:38:56;64379
6;Mouse real-time;virtual Avon Representative;2023-03-21T16:26:53;2023-03-21T00:42:21;40848
7;Account Graphic Fantastic;Sausages multi-byte;2023-03-21T20:57:42;2023-03-21T02:40:00;44900
8;payment;deposit Uruguay optical;2023-03-21T00:19:59;2023-03-21T09:04:06;60321
9;Guiana;tertiary Savings EXE;2023-03-20T21:18:54;2023-03-20T22:05:56;23491
10;Solutions;Isle Identity Station;2023-03-21T18:38:58;2023-03-21T19:52:22;68494
